Museum Name,Museum Type,Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Latitude,Longitude,Income,Revenue
NATIONAL ARCHIVES AT ANCHORAGE,GENERAL MUSEUM,,,,,61.21905,-149.89451,,
NEW YORK ALASKA HOUSE,ART MUSEUM,,,,,61.13325,-149.94851,50,50
OCEANSALASKA,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",2417 TONGASS AVENUE,KETCHIKAN,AK,99901,55.35076,-131.67274,892091,534898
OSCAR ANDERSON HOUSE,HISTORIC PRESERVATION,,,,,61.22198,-149.88169,133637,133637
PALMER HISTORICAL SOCIETY,HISTORIC PRESERVATION,316 EAST ELMWOOD AVENUE,PALMER,AK,99645,61.59873,-149.11008,0,0
PALMER MUSEUM OF HISTORY AND ART,GENERAL MUSEUM,,,,,61.59857,-149.11359,161428,144442
PELELIO WAR HISOTIRCAL SOCIETY,HISTORIC PRESERVATION,,,,,61.68606,-149.22797,0,0
PIONEER MEMORIAL PARK,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",2300 AIRPORT WAY,FAIRBANKS,AK,99707,64.83685,-147.76725,0,0
PIONEERS OF ALASKA,HISTORIC PRESERVATION,IGLOO # # 1,NOME,AK,99762,64.49805,-165.41115,587933,29269
PRATT MUSEUM,ART MUSEUM,3779 BARTLETT STREET,HOMER,AK,99603,59.6447,-151.5504,65544,65544
PRIBILOF ALEUTS,GENERAL MUSEUM,,,,,61.14654,-149.87117,0,0
RESURRECTION BAY HISTORICAL SOCIETY,HISTORIC PRESERVATION,239 SIXTH AVENUE,SEWARD,AK,99664,60.20885,-149.38716,0,0
RIO GRANDE MODELING & HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,38.89506,-104.75644,31028,28358
RUSSIAN ORTHODOX MUSEUM,HISTORIC PRESERVATION,,,,,61.19955,-149.73354,349281,349281
RUSSIAN ORTHODOX SACRED SITES IN ALASKA,HISTORIC PRESERVATION,,,,,61.19955,-149.73354,349281,349281
SAMUEL FOX MUSEUM,GENERAL MUSEUM,306 D STREET WEST,DILLINGHAM,AK,99576,59.04004,-158.45869,0,0
SAXMAN,HISTORIC PRESERVATION,,,,,55.38073,-131.68901,,
SEALASKA HERITAGE INSTITUTE,GENERAL MUSEUM,,,,,58.30039,-134.40814,7870397,7812834
SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",301 RAILWAY AVE,SEWARD,AK,99664,60.20885,-149.38716,9601562,9469200
SEWARD COMMUNITY LIBRARY,GENERAL MUSEUM,,,,,60.20885,-149.38716,25020,20137
SEWARD MUSEUM,GENERAL MUSEUM,,,,,60.20885,-149.38716,0,0
SHELDON JACKSON MUSEUM,NATURAL HISTORY MUSEUM,,,,,57.05064,-135.32213,85605,49871
SHELDON MUSEUM AND CULTURAL CENTER,HISTORY MUSEUM,11 MAIN STREET,HAINES,AK,99827,59.24675,-135.47365,323889,323889
SIMON PANEAK MEMORIAL MUSEUM,GENERAL MUSEUM,341 MEKIANA ROAD,ANAKTUVUK PASS,AK,99721,68.24085,-151.89265,0,0
SITKA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,57.04922,-135.34093,186233,160043
SITKA MARITIME HERITAGE SOCIETY,HISTORY MUSEUM,,,,,57.06019,-135.33625,36802,34039
SITKA NATIONAL HISTORICAL PARK,HISTORIC PRESERVATION,,,,,57.04892,-135.31966,,
SITKA SOUND SCIENCE CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,,,,57.04983,-135.32401,1958626,1923217
SKAGWAY HISTORICAL MUSEUM & ARCHIVES,HISTORIC PRESERVATION,700 SPRING ST,SKAGWAY,AK,99840,59.45637,-135.31356,,
SOLDOTNA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,60.49083,-151.0738,15193,15193
SOLDOTNA HISTORICAL SOCIETY AND MUSEUM,HISTORIC PRESERVATION,461 CENTENNIAL PARK ROAD,SOLDOTNA,AK,99669,60.4771,-151.0871,15193,15193
STORIS MUSEUM,GENERAL MUSEUM,,,,,58.29323,-134.43055,0,0
STUDENT UNION GALLERY,ART MUSEUM,,,,,64.81712,-147.87837,,
TALKEETNA HISTORICAL SOCIETY,HISTORIC PRESERVATION,TALKEETNA SPUR RD,TALKEETNA,AK,99676,62.1755,-149.90017,85074,78315
TANANA YUKON HISTORICAL SOCIETY,HISTORIC PRESERVATION,535 2ND AVE,FAIRBANKS,AK,99707,64.84339,-147.71869,19338,18705
TENAKEE HISTORICAL COLLECTION,HISTORIC PRESERVATION,,,,,57.77996,-135.21791,0,0
THOMAS PLANETARIUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,625 C STREET,ANCHORAGE,AK,99501,61.21608,-149.8853,,
TOCHAK HISTORICAL SOCIETY,HISTORIC PRESERVATION,123 TAKOTNA AVENUE,MCGRATH,AK,99627,62.91264,-154.94429,0,0
TONGASS HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,55.34242,-131.64029,0,0
TOTEM HERITAGE CENTER,GENERAL MUSEUM,,,,,55.34301,-131.63255,,
TREADWELL HISTORIC PRESERVATION & RESTORATION SOCIETY,HISTORIC PRESERVATION,,,,,58.27846,-134.3996,0,0
UAA PLANETARIUM AND VISUALIZATION THEATER,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,,,,64.81712,-147.87837,,
UNALASKA HISTORIC PRESERVATION COMMISSION,HISTORIC PRESERVATION,,,,,53.87139,-166.54126,,
VALDEZ HISTORICAL PRESERVATION AND RESTORATION COMMITTEE,HISTORIC PRESERVATION,,,,,61.10482,-146.21652,0,0
VALDEZ MUSEUM AND HISTORICAL ARCHIVE ASSOCIATION,HISTORY MUSEUM,217 EGAN DR,VALDEZ,AK,99686,61.10482,-146.21652,678148,645570
WASILLA-KINK HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,61.58245,-149.43945,39167,36901
WESTERN ARCTIC NATIONAL PARKLANDS,HISTORIC PRESERVATION,,,,,66.8985,-162.59957,,
WESTERN HISTORY ASSOCIATION,HISTORIC PRESERVATION,,,,,64.81712,-147.87837,336681,224685
WHALE PROJECT,HISTORIC PRESERVATION,,,,,58.37524,-134.7312,327481,327481
WHITESTONE FARMS,HISTORIC PRESERVATION,MILE 275 RICHARDSON HIGHWAY,DELTA JUNCTION,AK,99737,64.10761,-145.7709,357970,193187
WHITTIER MUSEUM ASSOCIATION,HISTORY MUSEUM,,,,,60.77,-148.68,0,0
WRANGELL MUSEUM,GENERAL MUSEUM,,,,,56.47183,-132.38707,,
WRANGELL-ST. ELIAS NATIONAL PARK,HISTORIC PRESERVATION,,,,,61.92025,-145.38294,,
YUKON-CHARLEY RIVERS NATIONAL PRESERVE,HISTORIC PRESERVATION,,,,,64.84911,-147.83878,,
YUPIIT PICIRYARAIT MUSEUM,GENERAL MUSEUM,,,,,60.78536,-161.80052,,
81ST ARMY RESERVE COMMAND HISTORICAL HOLDING,GENERAL MUSEUM,255 WEST OXMOOR ROAD,BIRMINGHAM,AL,35209,33.43981,-86.84269,,
9TH AND 10TH (HORSE) CAVALRY ASSOCIATION,HISTORIC PRESERVATION,520 16TH ST N,BIRMINGHAM,AL,35462,33.5128,-86.81171,,
A.M. BROWN HOUSE,HISTORIC PRESERVATION,319 4TH TERRACE,BIRMINGHAM,AL,35205,33.49719,-86.82681,,
AFRICAN AMERICAN HERITAGE TRAIL,GENERAL MUSEUM,204 SOUTH LAWRENCE ST,MOBILE,AL,36633,30.68582,-88.04614,0,0
AIR FORCE ENLISTED HERITAGE RESEARCH INSTITUTE/HERITAGE HALL,HISTORY MUSEUM,550 MCDONALD STREET,MONTGOMERY,AL,36114,32.40461,-86.25406,,
AIRCRAFT ENGINE HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,34.75203,-86.63848,0,0
ALABAMA AGRICULTURAL MUSEUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,430 LANDMARK DR,DOTHAN,AL,36303,31.27931,-85.37361,,
ALABAMA ARCHAEOLOGICAL SOCIETY,HISTORY MUSEUM,719 TREMONT ST,SELMA,AL,36701,32.41318,-87.02711,,
ALABAMA BENCH AND BAR HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,32.37375,-86.31101,,
ALABAMA CATTLEMAN'S ASSOCIATION MUSEUM�,GENERAL MUSEUM,201 S BAINBRIDGE STREET,MONTGOMERY,AL,36102,32.37535,-86.30106,,
ALABAMA CENTER FOR AMERICAN HISTORY,HISTORY MUSEUM,,,,,33.35966,-86.59573,312533,312533
ALABAMA CENTER FOR TRADITIONAL CULTURE,GENERAL MUSEUM,201 MONROE STREET,MONTGOMERY,AL,36130,32.37878,-86.30628,,
ALABAMA CENTER OF MILITARY HISTORY,HISTORIC PRESERVATION,,,,,34.69017,-86.58225,64159,64159
ALABAMA CITY HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,,,,,33.99526,-86.08196,0,0
ALABAMA COMPANY JAMESTOWNE SOCIETY,HISTORIC PRESERVATION,7920 VALLEY BEND DRIVE,HUNTSVILLE,AL,35223,34.6575,-86.52653,0,0
ALABAMA CONSTITUTION VILLAGE,HISTORIC PRESERVATION,109 GATES AVENUE SOUTHWEST,HUNTSVILLE,AL,35801,34.72664,-86.57223,1101454,806811
ALABAMA CONSTITUTION VILLAGE FOUNDATION,GENERAL MUSEUM,,,,,34.72861,-86.58469,1101454,806811
ALABAMA DEPARTMENT OF ARCHIVES AND HISTORY,HISTORIC PRESERVATION,624 WASHINGTON AVE,MONTGOMERY,AL,36130,32.37771,-86.291,,
ALABAMA FAN CLUB AND MUSEUM,GENERAL MUSEUM,101 GLENN BOULEVARD SW,FORT PAYNE,AL,35967,34.43359,-85.72543,,
ALABAMA FOLK ART MUSEUM,ART MUSEUM,,,,,33.51275,-86.80921,,
ALABAMA GOSPEL MUSIC CULTURAL ARTS CENTER,HISTORIC PRESERVATION,,,,,33.5115,-86.84821,21884,21884
ALABAMA GOVERNORS MANSION,HISTORIC PRESERVATION,,,,,32.36426,-86.3031,0,0
ALABAMA HISTORIC IRONWORKS COMMISSION,HISTORIC PRESERVATION,,,,,33.26851,-87.08321,1748733,1642172
ALABAMA HISTORICAL RADIO SOCIETY,HISTORIC PRESERVATION,600 N 18TH STREET,BIRMINGHAM,AL,35213,33.51784,-86.81185,0,0
ALABAMA HUMANITIES FOUNDATION,GENERAL MUSEUM,1100 IRELAND WAY SUITE #202,BIRMINGHAM,AL,35205,33.50116,-86.79191,,
ALABAMA INDIAN AFFAIRS COMMISSION,GENERAL MUSEUM,771 SOUTH LAWRENCE STREET  SUITE 106�����,MONTGOMERY,AL,36130,32.36698,-86.3057,,
ALABAMA JAZZ HALL OF FAME,GENERAL MUSEUM,,,,,33.51458,-86.81283,369221,368247
ALABAMA JUDICIAL DEPARTMENT MUSEUM,GENERAL MUSEUM,300 DEXTER AVENUE,MONTGOMERY,AL,36130,32.37744,-86.30496,,
ALABAMA LABOR ARCHIVES AND HISTORY,HISTORY MUSEUM,,,,,32.37285,-86.30467,0,0
ALABAMA LIGHTHOUSE ASSOCIATION,HISTORIC PRESERVATION,,,,,30.69651,-88.04401,0,0
ALABAMA MENS HALL OF FAME,GENERAL MUSEUM,800 LAKESHORE DRIVE,BIRMINGHAM,AL,36801,33.46411,-86.78814,7618,7618
ALABAMA MINING MUSEUM,HISTORY MUSEUM,,,,,33.73169,-87.09091,62187,62187
ALABAMA MUSEUM OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,,,,,33.20939,-87.54843,,
ALABAMA MUSEUM OF THE HEALTH SCIENCES,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,,,,33.50142,-86.80725,,
ALABAMA MUSIC HALL OF FAME,GENERAL MUSEUM,617 HIGHWAY 72 WEST,TUSCUMBIA,AL,35674,34.71624,-87.69496,,
ALABAMA NATIONAL GUARD HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,33.56265,-86.7397,,
ALABAMA NEGRO LEAGUE BASEBALL MUSEUM FOUNDATION,GENERAL MUSEUM,,,,,33.51634,-86.80581,0,0
ALABAMA RIVER REGION ARTS CENTER,ART MUSEUM,PO BOX 1172,WETUMPKA,AL,36092,32.59985,-86.20616,0,0
ALABAMA RURAL HERITAGE CENTER,GENERAL MUSEUM,133 SIXTH AVENUE,THOMASTON,AL,36783,32.25179,-87.61395,,
ALABAMA SPORTS HALL OF FAME,GENERAL MUSEUM,,,,,33.52522,-86.81047,586834,488198
ALABAMA TRAIL OF TEARS CORRIDOR ASSOCIATION,HISTORIC PRESERVATION,,,,,34.7084,-86.61731,0,0
ALABAMA TRUST FOR HISTORIC PRESERVATION,HISTORIC PRESERVATION,,,,,32.56319,-88.13818,118576,118576
ALABAMA VETERANS MUSEUM & ARCHIVES,HISTORY MUSEUM,100 PRYOR ST W,ATHENS,AL,35612,34.80672,-86.97072,126728,118567
ALABAMA WILDLIFE CENTER,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,,,33.32452,-86.79516,463192,440703
ALABAMA WOMEN'S HALL OF FAME,GENERAL MUSEUM,302 BIBB STREET,MARION,AL,36756,32.63066,-87.31662,,
ALABAMA ZOOLOGICAL SOCIETY,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,,,33.48437,-86.77398,0,0
ALBERTVILLE MUSEUM,GENERAL MUSEUM,610 WEST MAIN STREET,ALBERTVILLE,AL,35950,34.26948,-86.21514,,
